osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/81260929,Rimavská Baňa,station,RiBa,48.5099384,19.9445997,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/473c535f3fa7a24ea46a1fea890cdd126fac0d76,SK152934,Rimavská Baňa,201.2
node/4290506296,Zvolen osobná stanica,stop,,48.570848,19.1227333,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7cfebe554af7c67758be63bfe44ee2c155015297,SK132233,Zvolen osobná stanica,202.0
node/271137557,Zvolen mesto,stop,,48.5766745,19.1323578,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c5040f03af6276d41683b59f46e8ec0e772de5bd,SK190199,Zvolen mesto odb.,203.6
node/206244063,Trenčianska Teplá,station,TrTe,48.9373812,18.1132865,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/168ed3a8d506b0a05d28abcd7a946879b2d168a7,SK138867,Trenčianska Teplá,204.9
node/27175020,Čierna nad Tisou,station,CnTN,48.4195112,22.0851417,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/537ce43305e7de3d171d077e524e685defd0f071,SK138602,Čierna nad Tisou,207.0
node/683508646,Drienovská Nová Ves,station,DrNV,48.9114818,21.2452436,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bf6b9ea378859c717495703a297ee2c87aa762ab,SK157107,Drienovská Nová Ves,207.7
node/10174389866,Hencovce,stop,,48.8571142,21.7245454,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3684da2aa88962b99b6e3d2b9366fcd8bafc1bae,SK160002,Hencovce,209.3
node/11015533321,Žilina-Solinky,stop,,49.1991104,18.732939,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9052155911613442e18d1c2e4140e711bc695908,SK179309,Žilina-Solinky,209.7
node/10248390502,Nacina Ves,stop,,48.8173062,21.8441296,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/daf39e14c7eb22cd4ed43f094248b5b86eaaad8a,SK160309,Nacina Ves,209.8
node/1166624714,Drienovská Nová Ves,stop,,48.9114494,21.2451815,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bf6b9ea378859c717495703a297ee2c87aa762ab,SK157107,Drienovská Nová Ves,210.1
node/5236463528,Lučivná,stop,,49.058054,20.1439714,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a8e68bed7536347eaa22420408744340aa18cfe9,SK132407,Lučivná,210.7
node/10247657595,Drienovská Nová Ves,stop,,48.9114494,21.245246,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bf6b9ea378859c717495703a297ee2c87aa762ab,SK157107,Drienovská Nová Ves,211.2
node/10171101526,Bušovce,stop,,49.2186001,20.4935026,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1729b6e43883097d02f52948ab73739ec76bb04b,SK142901,Bušovce,211.3
node/10247657594,Drienovská Nová Ves,stop,,48.9114544,21.2453111,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bf6b9ea378859c717495703a297ee2c87aa762ab,SK157107,Drienovská Nová Ves,211.9
node/1831154629,Nacina Ves,halt,NaVe,48.8172866,21.8441851,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/daf39e14c7eb22cd4ed43f094248b5b86eaaad8a,SK160309,Nacina Ves,213.8
node/11249203833,Lučivná,stop,,49.0580162,20.1439664,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a8e68bed7536347eaa22420408744340aa18cfe9,SK132407,Lučivná,214.0
node/6276760385,Spišská Belá,station,SpBe,49.1867174,20.4514575,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e5f4852382dfd0a77fa61f2c18bc4db5b940c45b,SK149906,Spišská Belá,214.7
node/859388028,Žilina-Solinky,halt,ZiSo,49.1991836,18.7329181,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9052155911613442e18d1c2e4140e711bc695908,SK179309,Žilina-Solinky,218.0
node/430244441,Bušovce,station,Buso,49.2186675,20.4934945,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1729b6e43883097d02f52948ab73739ec76bb04b,SK142901,Bušovce,218.8
node/202875225,Kluknava,halt,Kluk,48.9140539,20.9482811,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1023cef43646326073e461e5bb1e46a180ae772e,SK134809,Kluknava,219.2
node/12145658336,Žilina,stop,,49.2268958,18.7498239,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8feb928a7a67bd760c8d9e3fa9c7d011a763b442,SK179150,Žilina,221.0
node/10566216287,Lučivná,halt,,49.05802,20.144188,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a8e68bed7536347eaa22420408744340aa18cfe9,SK132407,Lučivná,222.7
node/11926340505,Trenčianska Teplá,halt,Turt,48.9371315,18.113401,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/168ed3a8d506b0a05d28abcd7a946879b2d168a7,SK138867,Trenčianska Teplá,222.7
node/3325103352,Šurany zastávka,halt,2.629,48.0909977,18.1962191,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/344385ad693a75d9469396e806c65a0460a082ae,SK152264,Šurany zastávka,223.4
node/1839989859,Hencovce,halt,Henc,48.8570571,21.7247482,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3684da2aa88962b99b6e3d2b9366fcd8bafc1bae,SK160002,Hencovce,225.2
node/10210597081,Šurany zastávka,stop,,48.0910112,18.1961676,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/344385ad693a75d9469396e806c65a0460a082ae,SK152264,Šurany zastávka,227.5
node/3325142554,Bánov,station,Bano,48.0455476,18.167445,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2cd666087141f8a23594eb77ddbcdae792fa3562,SK152165,Bánov,228.3
node/10269710963,Bánov,stop,,48.0455412,18.1674438,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2cd666087141f8a23594eb77ddbcdae792fa3562,SK152165,Bánov,229.0
node/10174389851,Brekov,stop,,48.9031721,21.841456,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c49ef227629666bfa14431e5a77f76347402a30c,SK160507,Brekov,232.0
