osm_id,name,type,ref,lat,lon
node/31436595,Vokė,halt,,54.6334843,25.1282698
node/31436983,Vilnius,stop,,54.6696134,25.285775
node/31451531,Lentvaris,station,,54.6449966,25.0470605
node/31451565,Valkininkai,station,,54.3523155,24.7202066
node/31451577,Matuizos,station,,54.2747567,24.6860969
node/31451593,Varėna,station,,54.2093718,24.5747343
node/55333877,Kariotiškės,halt,,54.6752097,25.0059503
node/55338309,Lazdėnai,halt,,54.7490312,24.9420118
node/55338381,Žasliai,station,,54.8363945,24.5887434
node/55338421,Pravieniškės,station,,54.9017033,24.2208195
node/57185713,Pakenė,halt,,54.6516186,25.6054468
node/57185717,Kena,station,,54.6395564,25.6892109
node/60799929,Jonava,station,,55.0935136,24.2758581
node/66887277,Bezdonys,station,,54.8050898,25.5210766
node/66887310,Pabradė,station,,54.974288,25.7599857
node/71215047,Pabališkiai,halt,,54.7742103,23.6936286
node/71215051,Jūrė,station,,54.7587503,23.5954933
node/91092243,Laba,halt,,55.7443053,23.912197
node/99172829,Klaipėda,station,,55.7211079,21.1357899
node/99177936,Dūseikiai,station,,55.978104,22.4604133
node/159923469,Jašiūnai,station,,54.4528357,25.2805506
node/257188896,Palemonas,station,,54.914457,24.0609598
node/273461433,Bebruliškė,halt,,54.7076242,23.4628004
node/296385684,Marcinkonys,station,,54.0525296,24.4078258
node/298335144,Žeimiai,station,,55.1502507,24.182724
node/301943955,Sausiai,halt,,54.7010609,24.9935237
node/301944395,Vievis,station,,54.7794142,24.8121874
node/301945169,Pavenčiai,station,,55.9791356,22.9357532
node/310251328,Trakai,stop,,54.628913,24.9377156
node/360353202,Marijampolė,station,,54.5574686,23.3648622
node/420356700,Senieji Trakai,station,,54.612835,24.9797532
node/436354512,Švenčionėliai,station,,55.1638143,25.993477
node/450582470,Šilutė,stop,,55.3471399,21.4842652
node/475195003,Kazlų Rūda,station,,54.7486442,23.4995587
node/570118106,Paneriai,station,,54.6297422,25.1770585
node/582535727,Zervynos,halt,,54.1097081,24.4876797
node/617011895,Troškūnai LG,station,,55.5896938,24.9022356
node/617014502,Vašuokėnai,station,,55.6254102,24.8520195
node/617014920,Surdegis,station,,55.6584791,24.793386
node/617014928,Raguvėlė,halt,,55.6824132,24.7080323
node/617015186,Taruškos,station,,55.7310201,24.5492035
node/669898510,Ignalina,stop,,55.3384563,26.1636218
node/748187296,Rykantai,halt,,54.7166746,24.9829879
node/748297322,Voveriškiai,halt,,55.9516868,23.258349
node/773113288,Šilėnai,halt,,55.8638214,23.4139255
node/773113292,Kutiškiai,halt,,55.832453,23.4757863
node/872472728,Žažumbris,station,,55.5217196,25.1714923
node/872472924,Rubikiai LG,station,,55.531233,25.2820326
node/974930325,Kretinga,station,,55.8868558,21.2292917
node/983974572,Plungė,stop,,55.9193389,21.8521784
node/1051717364,Turmantas,station,,55.6995275,26.4653861
node/1071177772,Vinčai,station,,54.6736526,23.4416565
node/1080955151,Durpynas,stop,,55.8228901,23.5124831
node/1087025439,Miškiniai,halt,,54.5956935,24.9421822
node/1127720728,Mažeikiai,station,,56.3125546,22.3396359
node/1191404625,Pailgis,station,,54.9330813,25.6616839
node/1271048840,Šklėriai,halt,,54.5626049,24.8793836
node/1271048841,Pamerkiai,halt,,54.314009,24.7066049
node/1271048842,Rūdiškės,station,,54.5168531,24.8319447
node/1271048843,Kalviai,halt,,54.3971046,24.7456929
node/1271048844,Klepočiai,halt,,54.4508766,24.7786492
node/1291469621,Būdviečiai,halt,,54.6150095,23.4135175
node/1291469622,Mauručiai,station,,54.7817022,23.7675476
node/1325567013,Žeimena,halt,,55.0834896,25.9295719
node/1339661638,Elektrinių traukinių depas-1,halt,,54.6996877,25.446137
node/1370770380,Kėdainiai,station,,55.3084255,23.9778774
node/1370770381,Radviliškis,station,,55.8055806,23.5364777
node/1370770391,Šiauliai,station,,55.9230702,23.3139116
node/1380731889,Pažeimenė,station,,55.0268995,25.8649341
node/1463020573,Kyviškės,station,,54.6705282,25.5186148
node/1463020574,Pavilnys,station,,54.6785486,25.3547743
node/1508359158,Karčiupis,halt,,54.9159216,24.1459671
node/1559089811,Kužiai,station,,55.979084,23.1219211
node/1562292763,Gudžiūnai,station,,55.5248817,23.791114
node/1562329796,Juodšiliai,station,,54.5802128,25.2663272
node/1584569152,Bygailiai,halt,,55.7707453,24.6502991
node/1617442413,Dūkštas,station,,55.5196166,26.325207
node/1617442416,Gerkonys,halt,,55.5624032,26.3582826
node/1637232348,Akmenė,stop,,56.1957948,22.6957153
node/1659033629,Durpynas,stop,,55.8228715,23.5124421
node/1659033630,Mankiškiai,halt,,55.8436091,23.4369458
